Sequence,ExpectedTotal_ms,Network_ms,JitterSize_pkts,Jitter_ms,Total_ms
294,13,0.145,0,0,12.145
295,13,0.135,0,0,12.135
296,13,0.271,0,0,12.271
297,13,0.136,0,0,12.136
298,13,0.133,0,0,12.133
299,13,0.135,0,0,12.135
300,13,0.136,0,0,12.136
301,13,0.14,0,0,12.14
302,13,0.166,0,0,12.166
303,13,0.173,0,0,12.173
304,13,0.482,0,0,12.482
305,13,0.16,0,0,12.16
306,13,0.146,0,0,12.146
307,13,0.138,0,0,12.138
308,13,0.128,0,0,12.128
309,13,0.127,0,0,12.127
310,13,0.138,0,0,12.138
311,13,0.319,0,0,12.319
312,13,0.123,0,0,12.123
313,13,0.142,0,0,12.142
314,13,0.146,0,0,12.146
315,13,0.14,0,0,12.14
316,13,0.144,0,0,12.144
317,13,0.22,0,0,12.22
318,13,0.128,0,0,12.128
319,13,0.128,0,0,12.128
320,13,0.111,0,0,12.111
321,13,0.19,0,0,12.19
322,13,0.124,0,0,12.124
323,13,0.105,0,0,12.105
324,13,0.11,0,0,12.11
325,13,0.105,0,0,12.105
326,13,0.27,0,0,12.27
327,13,0.129,0,0,12.129
328,13,0.127,0,0,12.127
329,13,0.127,0,0,12.127
330,13,0.177,0,0,12.177
331,13,0.154,0,0,12.154
332,13,0.142,0,0,12.142
333,13,0.136,0,0,12.136
334,13,0.111,0,0,12.111
335,13,0.142,0,0,12.142
336,13,0.112,0,0,12.112
337,13,0.172,0,0,12.172
338,13,0.117,0,0,12.117
339,13,0.131,0,0,12.131
340,13,0.129,0,0,12.129
341,13,0.142,0,0,12.142
342,13,0.164,0,0,12.164
343,13,0.176,0,0,12.176
344,13,0.134,0,0,12.134
345,13,0.149,0,0,12.149
346,13,0.135,0,0,12.135
347,13,0.223,0,0,12.223
348,13,0.135,0,0,12.135
349,13,0.112,0,0,12.112
350,13,0.171,0,0,12.171
351,13,0.145,0,0,12.145
352,13,0.134,0,0,12.134
353,13,0.178,0,0,12.178
354,13,0.16,0,0,12.16
355,13,0.144,0,0,12.144
356,13,0.143,0,0,12.143
357,13,0.13,0,0,12.13
358,13,0.11,0,0,12.11
359,13,0.314,0,0,12.314
360,13,0.157,0,0,12.157
361,13,0.093,0,0,12.093
362,13,0.113,0,0,12.113
363,13,0.083,0,0,12.083
364,13,0.172,0,0,12.172
365,13,0.125,0,0,12.125
366,13,0.144,0,0,12.144
367,13,0.063,0,0,12.063
368,13,0.144,0,0,12.144
369,13,0.173,0,0,12.173
370,13,0.168,0,0,12.168
371,13,0.118,0,0,12.118
372,13,0.196,0,0,12.196
373,13,0.138,0,0,12.138
374,13,0.118,0,0,12.118
375,13,0.111,0,0,12.111
376,13,0.113,0,0,12.113
377,13,0.158,0,0,12.158
378,13,0.126,0,0,12.126
379,13,0.095,0,0,12.095
380,13,0.084,0,0,12.084
381,13,0.123,0,0,12.123
382,13,0.133,0,0,12.133
383,13,0.125,0,0,12.125
384,13,0.118,0,0,12.118
385,13,0.144,0,0,12.144
386,13,0.155,0,0,12.155
387,13,0.137,0,0,12.137
388,13,0.145,0,0,12.145
389,13,0.121,0,0,12.121
390,13,0.133,0,0,12.133
391,13,0.142,0,0,12.142
392,13,0.143,0,0,12.143
393,13,0.116,0,0,12.116
394,13,0.111,0,0,12.111
395,13,0.181,0,0,12.181
396,13,0.116,0,0,12.116
397,13,0.135,0,0,12.135
398,13,0.142,0,0,12.142
399,13,0.109,0,0,12.109
400,13,0.12,0,0,12.12
401,13,0.106,0,0,12.106
402,13,0.157,0,0,12.157
403,13,0.142,0,0,12.142
404,13,0.201,0,0,12.201
405,13,0.132,0,0,12.132
406,13,0.353,0,0,12.353
407,13,0.47,0,0,12.47
408,13,0.138,0,0,12.138
409,13,0.143,0,0,12.143
410,13,0.224,0,0,12.224
411,13,0.176,0,0,12.176
412,13,0.298,0,0,12.298
413,13,0.218,0,0,12.218
414,13,0.126,0,0,12.126
415,13,0.167,0,0,12.167
416,13,0.151,0,0,12.151
417,13,0.111,0,0,12.111
418,13,0.111,0,0,12.111
419,13,0.071,0,0,12.071
420,13,0.274,0,0,12.274
421,13,0.131,0,0,12.131
422,13,0.112,0,0,12.112
423,13,0.114,0,0,12.114
424,13,0.105,0,0,12.105
425,13,0.149,0,0,12.149
426,13,0.128,0,0,12.128
427,13,0.128,0,0,12.128
428,13,0.151,0,0,12.151
429,13,0.153,0,0,12.153
430,13,0.216,0,0,12.216
431,13,0.118,0,0,12.118
432,13,0.139,0,0,12.139
433,13,0.146,0,0,12.146
434,13,0.238,0,0,12.238
435,13,0.121,0,0,12.121
436,13,0.115,0,0,12.115
437,13,0.109,0,0,12.109
438,13,0.16,0,0,12.16
439,13,0.123,0,0,12.123
440,13,0.112,0,0,12.112
441,13,0.137,0,0,12.137
442,13,0.211,0,0,12.211
443,13,0.143,0,0,12.143
444,13,0.118,0,0,12.118
445,13,0.095,0,0,12.095
446,13,0.112,0,0,12.112
447,13,0.124,0,0,12.124
448,13,0.11,0,0,12.11
449,13,0.142,0,0,12.142
450,13,0.12,0,0,12.12
451,13,0.488,0,0,12.488
452,13,0.135,0,0,12.135
453,13,0.101,0,0,12.101
454,13,0.141,0,0,12.141
455,13,0.12,0,0,12.12
456,13,0.12,0,0,12.12
457,13,0.12,0,0,12.12
458,13,0.267,0,0,12.267
459,13,0.45,0,0,12.45
460,13,0.147,0,0,12.147
461,13,0.129,0,0,12.129
462,13,0.148,0,0,12.148
463,13,0.117,0,0,12.117
464,13,0.156,0,0,12.156
465,13,0.161,0,0,12.161
466,13,0.132,0,0,12.132
467,13,0.118,0,0,12.118
468,13,0.149,0,0,12.149
469,13,0.126,0,0,12.126
470,13,0.111,0,0,12.111
471,13,0.121,0,0,12.121
472,13,0.16,0,0,12.16
473,13,0.414,0,0,12.414
474,13,0.126,0,0,12.126
475,13,0.133,0,0,12.133
476,13,0.108,0,0,12.108
477,13,0.208,0,0,12.208
478,13,0.125,0,0,12.125
479,13,0.129,0,0,12.129
480,13,0.172,0,0,12.172
481,13,0.219,0,0,12.219
482,13,0.132,0,0,12.132
483,13,0.111,0,0,12.111
484,13,0.126,0,0,12.126
485,13,0.319,0,0,12.319
486,13,0.137,0,0,12.137
487,13,0.124,0,0,12.124
488,13,0.127,0,0,12.127
489,13,0.099,0,0,12.099
490,13,0.671,0,0,12.671
491,13,0.121,0,0,12.121
492,13,0.078,0,0,12.078
493,13,0.148,0,0,12.148
494,13,0.178,0,0,12.178
495,13,0.126,0,0,12.126
496,13,0.147,0,0,12.147
497,13,0.133,0,0,12.133
498,13,0.151,0,0,12.151
499,13,0.13,0,0,12.13
500,13,0.126,0,0,12.126
501,13,0.162,0,0,12.162
502,13,0.128,0,0,12.128
503,13,0.189,0,0,12.189
504,13,0.131,0,0,12.131
505,13,0.137,0,0,12.137
506,13,0.127,0,0,12.127
507,13,0.143,0,0,12.143
508,13,0.119,0,0,12.119
509,13,0.24,0,0,12.24
510,13,0.105,0,0,12.105
511,13,0.134,0,0,12.134
512,13,0.15,0,0,12.15
513,13,0.158,0,0,12.158
514,13,0.148,0,0,12.148
515,13,0.124,0,0,12.124
516,13,0.301,0,0,12.301
517,13,0.117,0,0,12.117
518,13,0.067,0,0,12.067
519,13,0.123,0,0,12.123
520,13,0.127,0,0,12.127
521,13,0.168,0,0,12.168
522,13,0.149,0,0,12.149
523,13,0.121,0,0,12.121
524,13,0.129,0,0,12.129
525,13,0.138,0,0,12.138
526,13,0.14,0,0,12.14
527,13,0.141,0,0,12.141
528,13,0.119,0,0,12.119
529,13,0.135,0,0,12.135
530,13,0.152,0,0,12.152
531,13,0.118,0,0,12.118
532,13,0.111,0,0,12.111
533,13,0.114,0,0,12.114
534,13,0.119,0,0,12.119
535,13,0.128,0,0,12.128
536,13,0.129,0,0,12.129
537,13,0.118,0,0,12.118
538,13,0.07,0,0,12.07
539,13,0.151,0,0,12.151
540,13,0.137,0,0,12.137
541,13,0.132,0,0,12.132
542,13,0.107,0,0,12.107
543,13,0.152,0,0,12.152
544,13,0.165,0,0,12.165
545,13,0.134,0,0,12.134
546,13,0.143,0,0,12.143
547,13,0.154,0,0,12.154
548,13,0.164,0,0,12.164
549,13,0.196,0,0,12.196
550,13,0.36,0,0,12.36
551,13,0.133,0,0,12.133
552,13,0.247,0,0,12.247
553,13,0.234,0,0,12.234
554,13,0.136,0,0,12.136
555,13,0.149,0,0,12.149
556,13,0.121,0,0,12.121
557,13,0.172,0,0,12.172
558,13,0.11,0,0,12.11
559,13,0.114,0,0,12.114
560,13,0.17,0,0,12.17
561,13,0.113,0,0,12.113
562,13,0.677,0,0,12.677
563,13,0.137,0,0,12.137
564,13,0.114,0,0,12.114
565,13,0.143,0,0,12.143
566,13,0.399,0,0,12.399
567,13,0.127,0,0,12.127
568,13,0.126,0,0,12.126
569,13,0.065,0,0,12.065
570,13,0.191,0,0,12.191
571,13,0.119,0,0,12.119
572,13,0.114,0,0,12.114
573,13,0.13,0,0,12.13
574,13,0.123,0,0,12.123
575,13,0.125,0,0,12.125
576,13,0.309,0,0,12.309
577,13,0.137,0,0,12.137
578,13,0.122,0,0,12.122
579,13,0.152,0,0,12.152
580,13,0.127,0,0,12.127
581,13,0.127,0,0,12.127
582,13,0.115,0,0,12.115
583,13,0.131,0,0,12.131
584,13,0.17,0,0,12.17
585,13,0.119,0,0,12.119
586,13,0.141,0,0,12.141
587,13,0.14,0,0,12.14
588,13,0.121,0,0,12.121
589,13,0.127,0,0,12.127
590,13,0.119,0,0,12.119
591,13,0.141,0,0,12.141
592,13,0.137,0,0,12.137
593,13,0.13,0,0,12.13
594,13,0.124,0,0,12.124
595,13,0.117,0,0,12.117
